"Eastern Date Hour","Zone Name","DAM Forecast Load","GMT Start Hour"
"2016/01/02 19:00:00","MILLWD","360","0"
"2016/01/02 19:00:00","N.Y.C.","5816","0"
"2016/01/02 19:00:00","NORTH","532","0"
"2016/01/02 19:00:00","WEST","1845","0"
"2016/01/02 20:00:00","CAPITL","1353","1"
"2016/01/02 20:00:00","CENTRL","1830","1"
"2016/01/02 20:00:00","DUNWOD","741","1"
"2016/01/02 20:00:00","GENESE","1116","1"
"2016/01/02 20:00:00","HUD VL","1147","1"
"2016/01/02 20:00:00","LONGIL","2590","1"
"2016/01/02 20:00:00","MHK VL","773","1"
"2016/01/02 20:00:00","MILLWD","350","1"
"2016/01/02 20:00:00","N.Y.C.","5683","1"
"2016/01/02 20:00:00","NORTH","525","1"
"2016/01/02 20:00:00","WEST","1810","1"
"2016/01/02 21:00:00","CAPITL","1302","2"
"2016/01/02 21:00:00","CENTRL","1772","2"
"2016/01/02 21:00:00","DUNWOD","723","2"
"2016/01/02 21:00:00","GENESE","1077","2"
"2016/01/02 21:00:00","HUD VL","1114","2"
"2016/01/02 21:00:00","LONGIL","2512","2"
"2016/01/02 21:00:00","MHK VL","737","2"
"2016/01/02 21:00:00","MILLWD","339","2"
"2016/01/02 21:00:00","N.Y.C.","5558","2"
"2016/01/02 21:00:00","NORTH","520","2"
"2016/01/02 21:00:00","WEST","1795","2"
"2016/01/02 22:00:00","CAPITL","1240","3"
"2016/01/02 22:00:00","CENTRL","1692","3"
"2016/01/02 22:00:00","DUNWOD","700","3"
"2016/01/02 22:00:00","GENESE","1023","3"
"2016/01/02 22:00:00","HUD VL","1064","3"
"2016/01/02 22:00:00","LONGIL","2402","3"
"2016/01/02 22:00:00","MHK VL","702","3"
"2016/01/02 22:00:00","MILLWD","320","3"
"2016/01/02 22:00:00","N.Y.C.","5396","3"
"2016/01/02 22:00:00","NORTH","510","3"
"2016/01/02 22:00:00","WEST","1738","3"
"2016/01/02 23:00:00","CAPITL","1165","4"
"2016/01/02 23:00:00","CENTRL","1612","4"
"2016/01/02 23:00:00","DUNWOD","661","4"
"2016/01/02 23:00:00","GENESE","971","4"
"2016/01/02 23:00:00","HUD VL","988","4"
"2016/01/02 23:00:00","LONGIL","2241","4"
"2016/01/02 23:00:00","MHK VL","660","4"
"2016/01/02 23:00:00","MILLWD","308","4"
"2016/01/02 23:00:00","N.Y.C.","5158","4"
"2016/01/02 23:00:00","NORTH","500","4"
"2016/01/02 23:00:00","WEST","1663","4"
"2016/01/03 00:00:00","CAPITL","1119","5"
"2016/01/03 00:00:00","CENTRL","1521","5"
"2016/01/03 00:00:00","DUNWOD","602","5"
"2016/01/03 00:00:00","GENESE","899","5"
"2016/01/03 00:00:00","HUD VL","892","5"
"2016/01/03 00:00:00","LONGIL","1996","5"
